date,ipx,pbi,icgg
2012-03-01,142.654060941039,100585.981363423,10781.77131789413
2012-06-01,137.175635529212,107914.996000004,11620.417486482229
2012-09-01,135.554618702396,109610.687999996,10089.428922266177
2012-12-01,139.98610481735932,113087.33467425,10504.485679932468
2013-03-01,140.18772241890932,105593.393451436,11033.357377942522
2013-06-01,128.673755384841,114674.824000004,11456.95895410634
2013-09-01,125.38700043470668,115339.650999996,10540.099270144367
2013-12-01,124.10459797281334,120827.13158101,11334.214176923133
2014-03-01,123.22581209241633,110825.894512799,11831.486237719166
2014-06-01,121.199067012858,116921.198000004,11606.520881078666
2014-09-01,122.79046642266633,117442.511999996,10730.830668742334
2014-12-01,116.06399265644568,122118.395569731,11358.275601316402
2015-03-01,107.508567865521,112965.83753642,10741.497396621306
2015-06-01,106.24628109972666,120634.696000004,10483.155700809408
2015-09-01,99.22459799927441,121148.701999996,9404.106749889963
2015-12-01,96.50269417891009,127756.764476669,10296.577360583171
2016-03-01,93.6518054271201,118025.323590825,10131.0710690771
2016-06-01,96.74371608425402,125140.772000005,10059.819262168437
2016-09-01,100.89269173073062,126735.901999996,9146.699823388628
2016-12-01,105.20131766661166,131679.002423666,9749.158128991503
2017-03-01,109.40671763939633,120720.841670623,10231.567862856447
2017-06-01,107.795901143151,128455.461000005,9615.257800333713
2017-09-01,113.60315644114833,130303.086999996,9070.39957562685
2017-12-01,122.358088028615,134735.610401299,10731.043026992678
2018-03-01,124.10928572602,124544.027718609,10939.759297236516
2018-06-01,122.69112420595333,135643.668000005,12499.023518325266
2018-09-01,116.61815014682232,133481.058999995,10263.014989048566
2018-12-01,114.662853271609,140957.245326021,10742.040659226133
2019-03-01,114.37317983602766,127532.946747517,11645.308404502566
2019-06-01,117.161725219193,137204.789000005,12899.6433847
2019-09-01,116.33143950373066,138005.246999995,10292.228753874386
2019-12-01,115.36692335991933,143862.017305252,11350.3881660764
2020-03-01,115.42752352553767,122974.622805243,11031.362147705213
2020-06-01,109.14647850357034,95975.8480000031,7879.875284735307
2020-09-01,123.50121126335034,126016.232999996,8384.63347871354
2020-12-01,132.44704319646334,141876.296287791,10774.145020290887
2021-03-01,147.291122960803,128175.738787238,12359.017563298867
2021-06-01,157.19722271280966,136362.095000005,13548.593145414234
2021-09-01,159.09675753858698,140832.369999995,13990.0294135742
2021-12-01,168.27058310858266,146790.796252886,14294.475110147667
2022-03-01,168.18818751658932,133215.627842148,14951.072579633435
2022-06-01,165.47691033723567,141045.790000005,16400.3074207523
2022-09-01,156.503850524819,143727.942999995,13179.569535127099
2022-12-01,157.45203712814066,149732.639230427,12801.375841901501
2023-03-01,159.47110171419433,133188.255831495,13820.831707417869
2023-06-01,154.70400387627,140469.188000005,13131.841985268902
2023-09-01,156.645824009476,142835.029999995,11205.873595737032
2023-12-01,159.437492055167,149238.526247161,12349.055798672867
2024-03-01,159.45109993839867,135172.35686503,12383.112344703268
2024-06-01,170.38340773510333,145885.276000006,12974.605498145867
2024-09-01,173.313597662167,148691.983999995,12633.517710676168
2024-12-01,175.060362950922,155868.383158359,13554.964148628032
2025-03-01,182.00066036714233,140592.187351702,13806.736772982234
2025-06-01,192.27484915158502,149867.872718688,14961.433219087698
2025-09-01,201.78458765157134,154199.554955317,13445.672190889969
2025-12-01,221.141194124854,161048.431148187,14439.865895673734
2026-03-01,252.68705151812867,145603.618609189,14697.563684458199
2026-06-01,251.75756265666234,153715.315456915,18136.682131463
